#COMBINATION;FREQ1;FREQ2;ORDER1;ORDER2;SIGN
2.918712E10;2.062404E10;3.2685E10;3;1;-
2.928681E10;2.062427E10;3.2586E10;3;1;-
2.93193E10;2.06241E10;3.2553E10;3;1;-
1.4401E10;3.2739E10;2.0954E10;3;4;-
2.921748E10;2.062416E10;3.2655E10;3;1;-
2.924997E10;2.062499E10;3.2625E10;3;1;-
2.914806E10;2.062402E10;3.2724E10;3;1;-
2.936416E10;2.062472E10;3.251E10;3;1;-
2.926225E10;2.062475E10;3.2612E10;3;1;-
2.929474E10;2.062458E10;3.2579E10;3;1;-
2.932723E10;2.062441E10;3.2546E10;3;1;-
2.8802E10;2.0514E10;3.274E10;3;1;-
2.918055E10;2.062485E10;3.2694E10;3;1;-
2.922754E10;2.062418E10;3.2645E10;3;1;-
2.916256E10;2.062452E10;3.2711E10;3;1;-
2.919505E10;2.062435E10;3.2678E10;3;1;-
2.93396E10;2.06242E10;3.2533E10;3;1;-
1.4569E10;3.2723E10;2.09E10;3;4;-
2.920221E10;2.062407E10;3.267E10;3;1;-
2.936262E10;2.062454E10;3.2511E10;3;1;-
2.926941E10;2.062447E10;3.2604E10;3;1;-
2.916546E10;2.062482E10;3.2709E10;3;1;-
2.932587E10;2.062429E10;3.2547E10;3;1;-
2.9138E10;2.0625E10;3.2737E10;3;1;-
2.929841E10;2.062447E10;3.2575E10;3;1;-
2.925867E10;2.062489E10;3.2616E10;3;1;-
2.933516E10;2.062472E10;3.2539E10;3;1;-
2.923121E10;2.062407E10;3.2641E10;3;1;-
2.925423E10;2.062441E10;3.2619E10;3;1;-
2.916102E10;2.062434E10;3.2712E10;3;1;-
2.932143E10;2.062481E10;3.2553E10;3;1;-
2.8773E10;2.0505E10;3.2742E10;3;1;-
2.91409E10;2.06243E10;3.2732E10;3;1;-
2.924784E10;2.062428E10;3.2625E10;3;1;-
2.930131E10;2.062477E10;3.2573E10;3;1;-
2.917765E10;2.062455E10;3.2696E10;3;1;-
2.933806E10;2.062402E10;3.2534E10;3;1;-
2.9445E10;2.0729E10;3.2742E10;3;1;-
2.93106E10;2.06242E10;3.2562E10;3;1;-
1.4737E10;3.2739E10;2.087E10;3;4;-
2.923411E10;2.062437E10;3.2639E10;3;1;-
2.929687E10;2.062429E10;3.2576E10;3;1;-
2.92434E10;2.06248E10;3.2631E10;3;1;-
2.920665E10;2.062455E10;3.2667E10;3;1;-
2.927385E10;2.062495E10;3.2601E10;3;1;-
2.913646E10;2.062482E10;3.2738E10;3;1;-
2.9109E10;2.058E10;3.2631E10;3;1;-
2.9474E10;2.0738E10;3.274E10;3;1;-
2.922967E10;2.062489E10;3.2645E10;3;1;-
2.914883E10;2.062461E10;3.2725E10;3;1;-
2.922328E10;2.062476E10;3.2651E10;3;1;-
2.925577E10;2.062459E10;3.2618E10;3;1;-
2.92463E10;2.06241E10;3.2626E10;3;1;-
2.914439E10;2.062413E10;3.2728E10;3;1;-
2.921884E10;2.062428E10;3.2654E10;3;1;-
2.9781E10;2.0841E10;3.2742E10;3;1;-
2.928604E10;2.062468E10;3.2588E10;3;1;-
2.931853E10;2.062451E10;3.2555E10;3;1;-
2.925133E10;2.062411E10;3.2621E10;3;1;-
2.93425E10;2.06245E10;3.2531E10;3;1;-
2.931504E10;2.062468E10;3.2559E10;3;1;-
1.397E10;3.2742E10;2.1064E10;3;4;-
2.926148E10;2.062416E10;3.2611E10;3;1;-
2.929397E10;2.062499E10;3.2581E10;3;1;-
2.931794E10;2.062498E10;3.2557E10;3;1;-
2.935043E10;2.062481E10;3.2524E10;3;1;-
2.919428E10;2.062476E10;3.268E10;3;1;-
2.922677E10;2.062459E10;3.2647E10;3;1;-
2.794E10;2.0227E10;3.2741E10;3;1;-
2.925074E10;2.062458E10;3.2623E10;3;1;-
1.2867E10;3.2521E10;2.1174E10;3;4;-
2.93135E10;2.06245E10;3.256E10;3;1;-
2.934599E10;2.062433E10;3.2527E10;3;1;-
2.929048E10;2.062416E10;3.2582E10;3;1;-
2.932297E10;2.062499E10;3.2552E10;3;1;-
2.926515E10;2.062405E10;3.2607E10;3;1;-
2.916972E10;2.062424E10;3.2703E10;3;1;-
2.933013E10;2.062471E10;3.2544E10;3;1;-
2.92347E10;2.06249E10;3.264E10;3;1;-
